SMILES,atom undefined stereo count,bond defined stereo count,complexity,hydrogen bond donors,hydrogen bond acceptors,rotatable bonds,heavy atom count,heavy atom molecular weight,LogP,monoisotopic weight,molar refractivity,total charge,topological polar surface area,quantitative estimate of drug-likeness,molecular complexity index,number of valence electrons,radical electrons,Acute toxicity,Flammability,Instability,Skin Toxicity,Respiratory Toxicity,Eye Toxicity,Environmental Toxicity,domain_status
O=[N+]([O-])c1cc([N+](=O)O)cc(N=Nc2ccccc2)c1O,0,0,729.9276868,2,6,4,21,280.155,3.5154,289.0567458,70.4531,1,128.4,0.505091866,729.9276868,106,0,4,3,0,4,4,4,4,in-domain
O=[N+]([O-])c1cc(N=Nc2ccc(O)cc2)c(O)c([N+](=O)[O-])c1,0,0,771.9311032,2,8,4,22,296.154,3.3296,304.044384,73.6984,0,151.46,0.50164026,771.9311032,112,0,4,2,1,4,4,4,4,in-domain
[Hg+].[OH-].[O]c1ccc([N+](=O)[O-])cc1[N+](=O)[O-],0,0,381.8849106,0,5,2,15,396.664,1.4675,401.9775788,41.8191,0,136.18,0.420274679,381.8849106,76,2,4,3,2,4,4,4,4,out-of-domain
CC(=O)/C(N=Nc1cc([N+](=O)[O-])ccc1O)=C(/C)O,0,1,587.9934957,2,7,4,19,254.137,2.7626,265.0698705,65.287,0,125.39,0.284382727,587.9934957,100,0,4,3,2,4,4,4,4,in-domain
O=[N+]([O-])c1cc([N+]([O-])=Nc2ccccc2)ccc1O,0,0,640.6776848,1,5,3,19,250.149,3.2261,259.0593058,66.5786,0,101.8,0.395280723,640.6776848,96,0,4,2,1,4,4,4,4,in-domain
O=[N+]([O-])c1cc(N=[N+]([O-])c2ccccc2)ccc1O,0,0,640.6776848,1,5,3,19,250.149,3.2261,259.0593058,66.5786,0,101.8,0.395280723,640.6776848,96,0,4,2,1,4,4,4,4,in-domain
O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)O[Pb]O[N+](=O)c2cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c2)c1,0,0,1196.387124,2,14,10,33,659.36,1.649,665.9697538,97.33,2,271.64,0.207485987,1196.387124,170,2,3,3,1,4,4,4,4,out-of-domain
O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)OOO[N+](=O)c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2O)c1,0,0,1132.836734,2,15,10,33,468.159,1.9614,473.9880163,92.661,2,280.87,0.282429831,1132.836734,172,0,3,3,1,4,4,4,4,out-of-domain
O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)O[Tl])c1,0,0,516.5756502,1,7,4,17,430.463,0.6341,433.9709784,51.542,1,135.82,0.417840556,516.5756502,86,0,3,3,1,4,4,4,4,out-of-domain
O=[N+]([O-])c1ccc(O)c([N+](=O)O[Pb]O[N+](=O)c2cc([N+](=O)[O-])ccc2O)c1,0,0,874.2738402,2,10,8,27,567.35,1.8326,575.9995974,84.0212,2,185.36,0.267285008,874.2738402,138,2,3,3,1,4,4,4,4,out-of-domain
O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)O[Pb]O[N+](=O)c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2O)c1,0,0,1138.137124,2,14,10,33,659.36,1.649,665.9697538,97.33,2,271.64,0.207485987,1138.137124,170,2,3,3,1,4,4,4,4,out-of-domain
O=[N+]([O-])c1cc([N+](=O)[O-])c(O[Pb]O[N+](=O)c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2O)c([N+](=O)[O-])c1,0,0,1196.387124,1,14,10,33,659.36,1.8884,664.9624774,98.5752,1,274.47,0.215736477,1196.387124,170,2,3,3,1,4,4,4,4,out-of-domain
O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)O[S-])c1,0,0,516.5756502,1,8,4,17,258.147,1.0125,260.9691704,53.153,0,135.82,0.481321158,516.5756502,90,0,3,3,1,4,4,4,4,in-domain
O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)OS)c1,0,0,516.5756502,2,8,4,17,258.147,1.3954,261.9764469,54.774,1,135.82,0.361789685,516.5756502,90,0,3,3,1,4,4,4,4,in-domain
O=[N+]([O-])c1cc([N+](=O)O[Tl])cc([N+](=O)[O-])c1O,0,0,481.3256502,1,7,4,17,430.463,0.6341,433.9709784,51.542,1,135.82,0.417840556,481.3256502,86,0,3,3,1,4,4,4,4,out-of-domain
O=[N+](O[Tl])c1ccccc1O,0,0,276.2848351,1,3,2,11,338.453,0.8177,344.0008219,38.2332,1,49.54,0.638845509,276.2848351,54,0,2,1,0,4,4,3,4,in-domain
CS(C)(C)O[N+](=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,0,0,595.9393512,1,7,5,20,294.18,2.1596,306.0390471,71.151,1,135.82,0.649644216,595.9393512,110,0,3,4,1,4,4,4,4,in-domain
CS(C)(C)O[N+](=O)c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,0,0,560.6893512,1,7,5,20,294.18,2.1596,306.0390471,71.151,1,135.82,0.649644216,560.6893512,110,0,3,4,1,4,4,4,4,in-domain
C[Te](C)(C)O[N+](=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,0,0,595.9393512,1,7,5,20,389.713,2.3855,403.9732005,69.134,1,135.82,0.45398443,595.9393512,110,0,3,3,0,4,4,4,4,out-of-domain
