SMILES,FP,Parent_TIC_Index,Parent_TIC_SMILES,Similarity_to_Parent
[2H]C=Cc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89dc10>,126,[H]C([H])=C([H])c1c([H])c([H])c([H])c([H])c1[H],0.631578947368421
[13CH3]c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89dc80>,134,[H]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],1.0
[2H]c1c([2H])c(C)c([2H])c([2H])c1C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89dcf0>,134,[H]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],0.3125
[2H]c1c([2H])c(C)c([2H])c(C)c1[2H],<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89dd60>,134,[H]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],0.25
CC[C@@H](C)Cc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89ddd0>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.4782608695652174
CC[C@@H](C)c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89de40>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.391304347826087
CCCC[Sn](CCCC)(CCCC)Cc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89deb0>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.4230769230769231
C=C(C)c1ccccc1C(=C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89df20>,101,[H]Oc1c([H])c([H])c([H])c([H])c1[H],0.3
CC(C)=CCC/C(C)=C/CCc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89df90>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.3125
F/C=C\c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89e040>,126,[H]C([H])=C([H])c1c([H])c([H])c([H])c([H])c1[H],0.5
CCC(C)=Cc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89e0b0>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.34615384615384615
C=Cc1ccc(C(=C)C)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89e120>,126,[H]C([H])=C([H])c1c([H])c([H])c([H])c([H])c1[H],0.4166666666666667
CC[C@H](C)c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89e190>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.391304347826087
F/C=C/c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89e200>,126,[H]C([H])=C([H])c1c([H])c([H])c([H])c([H])c1[H],0.5
C/C=C/C#CC#Cc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89e270>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.26666666666666666
C1=CCC(c2ccccc2)=CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89e2e0>,101,[H]Oc1c([H])c([H])c([H])c([H])c1[H],0.23076923076923078
Cc1ccccc1[Hg]c1ccccc1C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89e350>,134,[H]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],0.35
Cc1ccccc1[Hg]Cl,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89e3c0>,134,[H]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],0.3181818181818182
CCCCCC#Cc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89e430>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.3103448275862069
CC(C)C#Cc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89e4a0>,134,[H]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],0.30434782608695654
C1=C(c2ccccc2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89e510>,101,[H]Oc1c([H])c([H])c([H])c([H])c1[H],0.2857142857142857
CC(C)(C)C#Cc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89e580>,134,[H]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],0.30434782608695654
C[Sn](C)(C)Cc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89e5f0>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.47619047619047616
[CH2-]c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89e660>,101,[H]Oc1c([H])c([H])c([H])c([H])c1[H],0.375
CCCCCCC#Cc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89e6d0>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.3
CCCCc1ccc(F)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89e740>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.25925925925925924
C[Pb](C)(C)Cc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89e7b0>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.47619047619047616
C(=C1CC1)c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89e820>,126,[H]C([H])=C([H])c1c([H])c([H])c([H])c([H])c1[H],0.4090909090909091
CCCCC=Cc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89e890>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.37037037037037035
CCC(C)CCCCc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89e900>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.4074074074074074
CC(=C1C=CC=C1)c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89e970>,101,[H]Oc1c([H])c([H])c([H])c([H])c1[H],0.2916666666666667
CC/C(C)=C/c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89e9e0>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.34615384615384615
C/C=C/CCCc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89ea50>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.4230769230769231
CC(C)(C)/C=C\c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89eac0>,126,[H]C([H])=C([H])c1c([H])c([H])c([H])c([H])c1[H],0.43478260869565216
CC(C)(C)/C=C/c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89eb30>,126,[H]C([H])=C([H])c1c([H])c([H])c([H])c([H])c1[H],0.43478260869565216
CC(F)c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89eba0>,134,[H]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],0.35
CCC/C=C/c1ccc(F)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89ec10>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.1935483870967742
CCCCC(F)c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89ec80>,18,[H]c1c([H])c([H])c(C(=O)OC([H])([H])C([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c(C(=O)OC([H])([H])C([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c1[H],0.34146341463414637
CCc1ccccc1F,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89ecf0>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.391304347826087
CCC(F)c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89ed60>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.375
CC/C=C/c1ccc(F)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89edd0>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.20689655172413793
C/C=C/c1ccc(F)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89ee40>,126,[H]C([H])=C([H])c1c([H])c([H])c([H])c([H])c1[H],0.18518518518518517
CC(F)Cc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89eeb0>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.43478260869565216
C=C(CF)c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89ef20>,101,[H]Oc1c([H])c([H])c([H])c([H])c1[H],0.30434782608695654
C/C=C(\F)c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89ef90>,101,[H]Oc1c([H])c([H])c([H])c([H])c1[H],0.3181818181818182
C/C=C(/F)c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89f040>,101,[H]Oc1c([H])c([H])c([H])c([H])c1[H],0.3181818181818182
CC(F)CCc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89f0b0>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.4
C=C(F)Cc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89f120>,17,[H]c1c([H])c([H])c(C([H])([H])Cl)c([H])c1[H],0.391304347826087
FCCCCc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89f190>,17,[H]c1c([H])c([H])c(C([H])([H])Cl)c([H])c1[H],0.375
Cc1cccc(P(Cl)Cl)c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89f200>,146,[H]c1c([H])c(C([H])([H])[H])c([H])c(C([H])([H])[H])c1[H],0.55
Cc1ccccc1P(Cl)Cl,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89f270>,134,[H]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],0.3181818181818182
[CH2]c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89f2e0>,126,[H]C([H])=C([H])c1c([H])c([H])c([H])c([H])c1[H],0.3888888888888889
[CH2]c1ccccc1C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89f350>,134,[H]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],0.3684210526315789
[CH2]Cc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89f3c0>,17,[H]c1c([H])c([H])c(C([H])([H])Cl)c([H])c1[H],0.47368421052631576
CCC#CC#Cc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89f430>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.3333333333333333
CC(C)=CCC/C(C)=C/Cc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89f4a0>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.3225806451612903
CC=C(CC)c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89f510>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.375
C=CC=Cc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89f580>,126,[H]C([H])=C([H])c1c([H])c([H])c([H])c([H])c1[H],0.5238095238095238
PCc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89f5f0>,17,[H]c1c([H])c([H])c(C([H])([H])Cl)c([H])c1[H],0.47368421052631576
C=CCCCCc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89f660>,17,[H]c1c([H])c([H])c(C([H])([H])Cl)c([H])c1[H],0.3333333333333333
C=C(c1ccccc1)C(C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89f6d0>,101,[H]Oc1c([H])c([H])c([H])c([H])c1[H],0.30434782608695654
C=C(C)CCCc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89f740>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.44
CCCC=C=Cc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89f7b0>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.3103448275862069
C#C/C=C/c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89f820>,126,[H]C([H])=C([H])c1c([H])c([H])c([H])c([H])c1[H],0.375
C(=C1CCCCC1)c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89f890>,126,[H]C([H])=C([H])c1c([H])c([H])c([H])c([H])c1[H],0.36
Cc1ccc(P)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89f900>,134,[H]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],0.4117647058823529
C=CCC#Cc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89f970>,126,[H]C([H])=C([H])c1c([H])c([H])c([H])c([H])c1[H],0.3333333333333333
C/C=C\c1ccc(C)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89f9e0>,134,[H]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],0.3333333333333333
[O+]#Cc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89fa50>,101,[H]Oc1c([H])c([H])c([H])c([H])c1[H],0.3157894736842105
C/C=C/c1ccccc1C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89fac0>,134,[H]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],0.30434782608695654
C/C=C\CCc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89fb30>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.4
CCCCCC/C=C/c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89fba0>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.3448275862068966
CCCC/C=C/c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89fc10>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.37037037037037035
C=C(/C=C/C)c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89fc80>,134,[H]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],0.3333333333333333
CC/C=C/C=C/c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89fcf0>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.3333333333333333
C1=C\C=C/C(c2ccccc2)=C\C=C/1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89fd60>,126,[H]C([H])=C([H])c1c([H])c([H])c([H])c([H])c1[H],0.2692307692307692
CCCC/C=C\c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89fdd0>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.37037037037037035
CCC/C=C\c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89fe40>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.34615384615384615
C=C[C@@H](C)c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89feb0>,126,[H]C([H])=C([H])c1c([H])c([H])c([H])c([H])c1[H],0.375
C=C[C@H](C)c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89ff20>,126,[H]C([H])=C([H])c1c([H])c([H])c([H])c([H])c1[H],0.375
